path,relative_path,filename,category,size_bytes,date_inferred,dimensions,variables,global_attributes,variable_shapes,variable_attributes,units,temp_variable,std_variable,lat_present,lon_present,bathy_present,temp_nan_pct,temp_finite_pct,temp_zero_pct,temp_min,temp_max,temp_mean,temp_std,depth_index,depth_value,std_nan_pct,std_finite_pct,std_zero_pct,std_min,std_max,std_mean,std_std,selected_temp_slice,selected_std_slice
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\ALL\thetao_20260427.nc,01.Data\ALL\thetao_20260427.nc,thetao_20260427.nc,raw_CMEMS_Copernicus,235519457,2026-04-27,"{""time"": 370, ""depth"": 17, ""latitude"": 78, ""longitude"": 120}","[""time"", ""depth"", ""latitude"", ""longitude"", ""thetao""]","{""Conventions"": ""CF-1.11"", ""title"": ""Ocean 3D daily mean fields for the Iberia-Biscay-Ireland (IBI) region"", ""institution"": ""NOW Systems (Spain)"", ""source"": ""NEMO3.6"", ""contact"": ""https://marine.copernicus.eu/contact"", ""references"": ""http://marine.copernicus.eu/"", ""comment"": """", ""subset:source"": ""ARCO data downloaded from the Marine Data Store using the MyOcean Data Portal"", ""subset:productId"": ""IBI_ANALYSISFORECAST_PHY_005_001"", ""subset:datasetId"": ""cmems_mod_ibi_phy_anfc_0.027deg-3D_P1D-m_202411"", ""subset:date"": ""2026-04-27T11:24:28.394Z""}","{""time"": [370], ""depth"": [17], ""latitude"": [78], ""longitude"": [120], ""thetao"": [370, 17, 78, 120]}","{""time"": {""standard_name"": ""time"", ""long_name"": ""Time"", ""units"": ""seconds since 1970-01-01 00:00:00"", ""calendar"": ""gregorian"", ""axis"": ""T""}, ""depth"": {""standard_name"": ""depth"", ""long_name"": ""Depth"", ""units"": ""m"", ""unit_long"": ""Meters"", ""axis"": ""Z"", ""positive"": ""down""}, ""latitude"": {""standard_name"": ""latitude"", ""long_name"": ""Latitude"", ""units"": ""degrees_north"", ""unit_long"": ""Degrees North"", ""axis"": ""Y""}, ""longitude"": {""standard_name"": ""longitude"", ""long_name"": ""Longitude"", ""units"": ""degrees_east"", ""unit_long"": ""Degrees East"", ""axis"": ""X""}, ""thetao"": {""units"": ""degrees_C"", ""_FillValue"": ""nan"", ""standard_name"": ""sea_water_potential_temperature"", ""long_name"": ""Temperature"", ""easting"": ""longitude"", ""latitude_max"": ""56.08294177f"", ""latitude_min"": ""26.16535726f"", ""longitude_max"": ""5.084567f"", ""longitude_min"": ""-19.0828411f"", ""northing"": ""latitude"", ""unit_long"": ""degrees_C"", ""valid_max"": ""32.0"", ""valid_min"": ""-6.000001"", ""z_max"": ""5727.917f"", ""z_min"": ""0.4940254f""}}","{""time"": ""seconds since 1970-01-01 00:00:00"", ""depth"": ""m"", ""latitude"": ""degrees_north"", ""longitude"": ""degrees_east"", ""thetao"": ""degrees_C""}",thetao,,True,True,False,16.850804424333838,83.14919557566617,0.0,12.758999824523926,22.163000106811523,17.401298025007986,1.8906607587036202,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\ALL\thetao_20260427_1_2_November.nc,01.Data\ALL\thetao_20260427_1_2_November.nc,thetao_20260427_1_2_November.nc,raw_CMEMS_Copernicus,10838005,2026-04-27,"{""time"": 17, ""depth"": 17, ""latitude"": 78, ""longitude"": 120}","[""time"", ""depth"", ""latitude"", ""longitude"", ""thetao""]","{""Conventions"": ""CF-1.11"", ""title"": ""Ocean 3D daily mean fields for the Iberia-Biscay-Ireland (IBI) region"", ""institution"": ""NOW Systems (Spain)"", ""source"": ""NEMO3.6"", ""contact"": ""https://marine.copernicus.eu/contact"", ""references"": ""http://marine.copernicus.eu/"", ""comment"": """", ""subset:source"": ""ARCO data downloaded from the Marine Data Store using the MyOcean Data Portal"", ""subset:productId"": ""IBI_ANALYSISFORECAST_PHY_005_001"", ""subset:datasetId"": ""cmems_mod_ibi_phy_anfc_0.027deg-3D_P1D-m_202411"", ""subset:date"": ""2026-05-04T12:42:12.706Z""}","{""time"": [17], ""depth"": [17], ""latitude"": [78], ""longitude"": [120], ""thetao"": [17, 17, 78, 120]}","{""time"": {""standard_name"": ""time"", ""long_name"": ""Time"", ""units"": ""seconds since 1970-01-01 00:00:00"", ""calendar"": ""gregorian"", ""axis"": ""T""}, ""depth"": {""standard_name"": ""depth"", ""long_name"": ""Depth"", ""units"": ""m"", ""unit_long"": ""Meters"", ""axis"": ""Z"", ""positive"": ""down""}, ""latitude"": {""standard_name"": ""latitude"", ""long_name"": ""Latitude"", ""units"": ""degrees_north"", ""unit_long"": ""Degrees North"", ""axis"": ""Y""}, ""longitude"": {""standard_name"": ""longitude"", ""long_name"": ""Longitude"", ""units"": ""degrees_east"", ""unit_long"": ""Degrees East"", ""axis"": ""X""}, ""thetao"": {""units"": ""degrees_C"", ""_FillValue"": ""nan"", ""standard_name"": ""sea_water_potential_temperature"", ""long_name"": ""Temperature"", ""easting"": ""longitude"", ""latitude_max"": ""56.08294177f"", ""latitude_min"": ""26.16535726f"", ""longitude_max"": ""5.084567f"", ""longitude_min"": ""-19.0828411f"", ""northing"": ""latitude"", ""unit_long"": ""degrees_C"", ""valid_max"": ""32.0"", ""valid_min"": ""-6.000001"", ""z_max"": ""5727.917f"", ""z_min"": ""0.4940254f""}}","{""time"": ""seconds since 1970-01-01 00:00:00"", ""depth"": ""m"", ""latitude"": ""degrees_north"", ""longitude"": ""degrees_east"", ""thetao"": ""degrees_C""}",thetao,,True,True,False,16.850804424333838,83.14919557566617,0.0,15.392000198364258,21.36600112915039,19.34109976953504,0.9180900903122595,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20240930_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20240930_.nc,CMEMSnaza_20240930_.nc,october_grouped_CMEMS_grid,17936762,2024-09-30,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,12.973000526428223,21.35700035095215,18.960991668356524,1.6490147534469557,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241001_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241001_.nc,CMEMSnaza_20241001_.nc,october_grouped_CMEMS_grid,17936762,2024-10-01,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.107000350952148,21.392000198364258,19.01596536801046,1.6152530366574784,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241002_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241002_.nc,CMEMSnaza_20241002_.nc,october_grouped_CMEMS_grid,17936762,2024-10-02,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.253000259399414,21.392000198364258,19.06731524821965,1.5863553923034817,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241003_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241003_.nc,CMEMSnaza_20241003_.nc,october_grouped_CMEMS_grid,17936762,2024-10-03,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.369000434875488,21.43000030517578,19.111788530093094,1.5630959347450157,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241004_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241004_.nc,CMEMSnaza_20241004_.nc,october_grouped_CMEMS_grid,17936762,2024-10-04,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.472000122070312,21.468000411987305,19.152749201390098,1.5441156525713353,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241005_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241005_.nc,CMEMSnaza_20241005_.nc,october_grouped_CMEMS_grid,17936762,2024-10-05,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.567999839782715,21.479000091552734,19.192012596126045,1.5263566303139062,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241006_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241006_.nc,CMEMSnaza_20241006_.nc,october_grouped_CMEMS_grid,17936762,2024-10-06,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.636000633239746,21.479000091552734,19.231670297253334,1.5085391701326751,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241007_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241007_.nc,CMEMSnaza_20241007_.nc,october_grouped_CMEMS_grid,17936762,2024-10-07,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.711999893188477,21.479000091552734,19.27131375185644,1.4883389098829591,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241008_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241008_.nc,CMEMSnaza_20241008_.nc,october_grouped_CMEMS_grid,17936762,2024-10-08,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.304878921684068,1.4662832187618084,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241009_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241009_.nc,CMEMSnaza_20241009_.nc,october_grouped_CMEMS_grid,17936762,2024-10-09,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.330019602512362,1.4409005365750172,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241010_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241010_.nc,CMEMSnaza_20241010_.nc,october_grouped_CMEMS_grid,17936762,2024-10-10,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.34820257730825,1.420304445174144,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241011_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241011_.nc,CMEMSnaza_20241011_.nc,october_grouped_CMEMS_grid,17936762,2024-10-11,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.370080712894346,1.3996243925655167,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241012_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241012_.nc,CMEMSnaza_20241012_.nc,october_grouped_CMEMS_grid,17936762,2024-10-12,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.402949281453143,1.3738905833003636,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241013_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241013_.nc,CMEMSnaza_20241013_.nc,october_grouped_CMEMS_grid,17936762,2024-10-13,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.44109774774426,1.3463897264595281,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241014_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241014_.nc,CMEMSnaza_20241014_.nc,october_grouped_CMEMS_grid,17936762,2024-10-14,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.480351982325278,1.31716544454703,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241015_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241015_.nc,CMEMSnaza_20241015_.nc,october_grouped_CMEMS_grid,17936762,2024-10-15,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.516901701341656,1.285292668413285,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241016_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241016_.nc,CMEMSnaza_20241016_.nc,october_grouped_CMEMS_grid,17936762,2024-10-16,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.550309546597745,1.2494656212257982,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241017_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241017_.nc,CMEMSnaza_20241017_.nc,october_grouped_CMEMS_grid,17936762,2024-10-17,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.57684108105921,1.2078816119570004,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241018_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241018_.nc,CMEMSnaza_20241018_.nc,october_grouped_CMEMS_grid,17936762,2024-10-18,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.75,21.479000091552734,19.599133204301413,1.163006853109203,,,,,,,,,,,
C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\01.Data\October\CMEMSGrid\CMEMSnaza_20241019_.nc,01.Data\October\CMEMSGrid\CMEMSnaza_20241019_.nc,CMEMSnaza_20241019_.nc,october_grouped_CMEMS_grid,17936762,2024-10-19,"{""LON"": 120, ""LAT"": 78, ""DEPT"": 17, ""TIME"": 14, ""lat"": 78, ""lon"": 120, ""seconds since 1970-01-01"": 14, ""depth"": 17}","[""TEMP"", ""LAT"", ""LON"", ""BATHY"", ""TIME"", ""DEPT""]",{},"{""TEMP"": [14, 17, 78, 120], ""LAT"": [78], ""LON"": [120], ""BATHY"": [78, 120], ""TIME"": [14], ""DEPT"": [17]}","{""TEMP"": {}, ""LAT"": {}, ""LON"": {}, ""BATHY"": {}, ""TIME"": {}, ""DEPT"": {}}","{""TEMP"": """", ""LAT"": """", ""LON"": """", ""BATHY"": """", ""TIME"": """", ""DEPT"": """"}",TEMP,,True,True,True,16.850804424333838,83.14919557566617,0.0,13.916000366210938,21.47599983215332,19.61965224634071,1.116132695947797,,,,,,,,,,,
