route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,87.185,110.0299
1,1,39.609592,-9.354278,435.14688,87.185,110.0299
1,2,39.59904,-9.362297,365.99136,87.185,110.0299
1,3,39.567383,-9.383683,239.86378,87.185,110.0299
1,4,39.548916,-9.397049,250.8127,87.185,110.0299
1,5,39.533085,-9.418435,245.00526,87.185,110.0299
1,6,39.55683,-9.4264555,537.24506,87.185,110.0299
1,7,39.559467,-9.413089,440.376,87.185,110.0299
1,8,39.577934,-9.418435,600.7519,87.185,110.0299
1,9,39.57002,-9.402396,405.262,87.185,110.0299
1,10,39.58585,-9.397049,442.53952,87.185,110.0299
1,11,39.60168,-9.397049,577.6245,87.185,110.0299
1,12,39.625423,-9.429129,547.2121,87.185,110.0299
1,13,39.62806,-9.3890295,646.13245,87.185,110.0299
1,14,39.646526,-9.386356,544.83875,87.185,110.0299
1,15,39.65708,-9.3703165,356.8968,87.185,110.0299
1,16,39.67819,-9.367643,206.89206,87.185,110.0299
1,17,39.694016,-9.397049,158.34636,87.185,110.0299
1,18,39.712482,-9.402396,146.94756,87.185,110.0299
1,19,39.707207,-9.34893,140.92334,87.185,110.0299
1,20,39.680824,-9.332891,160.5642,87.185,110.0299
1,21,39.65708,-9.34893,294.27972,87.185,110.0299
1,22,39.662357,-9.332891,211.10893,87.185,110.0299
1,23,39.67555,-9.319525,180.69499,87.185,110.0299
1,24,39.691376,-9.316852,144.88208,87.185,110.0299
1,25,39.704567,-9.322198,136.51944,87.185,110.0299
1,26,39.720398,-9.287446,128.87619,87.185,110.0299
1,27,39.709846,-9.292792,136.53041,87.185,110.0299
1,28,39.67819,-9.303485,188.74629,87.185,110.0299
1,29,39.667633,-9.306158,216.32565,87.185,110.0299
1,30,39.620148,-9.346257,421.6868,87.185,110.0299
1,31,39.57402,-9.294322,110.0299,87.185,110.0299
