image_idx_0_based,image_z_1_based,png_path
128,129,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z129.png
130,131,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z131.png
131,132,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z132.png
132,133,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z133.png
144,145,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z145.png
145,146,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z146.png
162,163,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z163.png
163,164,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z164.png
164,165,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z165.png
165,166,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z166.png
166,167,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z167.png
167,168,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z168.png
168,169,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z169.png
170,171,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z171.png
171,172,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z172.png
172,173,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z173.png
173,174,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z174.png
174,175,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z175.png
175,176,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z176.png
176,177,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z177.png
177,178,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z178.png
183,184,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z184.png
184,185,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z185.png
185,186,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z186.png
186,187,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z187.png
187,188,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z188.png
188,189,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z189.png
189,190,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z190.png
193,194,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z194.png
202,203,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z203.png
206,207,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z207.png
207,208,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z208.png
214,215,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z215.png
215,216,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z216.png
216,217,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z217.png
217,218,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z218.png
218,219,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z219.png
219,220,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z220.png
220,221,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z221.png
226,227,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z227.png
227,228,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z228.png
228,229,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z229.png
229,230,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z230.png
230,231,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z231.png
231,232,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z232.png
232,233,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z233.png
233,234,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z234.png
234,235,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z235.png
235,236,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z236.png
236,237,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z237.png
