image_idx_0_based,image_z_1_based,image_icv_proxy,png_path
104,105,0.006121122278273106,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0105_2024-02-09_X_surface_370_roi_x490_norm.png
253,254,0.7278620600700378,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0254_2024-07-07_X_surface_370_roi_x490_norm.png
117,118,0.007326650898903608,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0118_2024-02-22_X_surface_370_roi_x490_norm.png
240,241,0.47065049409866333,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0241_2024-06-24_X_surface_370_roi_x490_norm.png
115,116,0.007541513070464134,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0116_2024-02-20_X_surface_370_roi_x490_norm.png
241,242,0.46014413237571716,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0242_2024-06-25_X_surface_370_roi_x490_norm.png
103,104,0.008631967008113861,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0104_2024-02-08_X_surface_370_roi_x490_norm.png
239,240,0.43295881152153015,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0240_2024-06-23_X_surface_370_roi_x490_norm.png
168,169,0.00916495081037283,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0169_2024-04-13_X_surface_370_roi_x490_norm.png
238,239,0.36694586277008057,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0239_2024-06-22_X_surface_370_roi_x490_norm.png
53,54,0.00969105213880539,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0054_2023-12-20_X_surface_370_roi_x490_norm.png
303,304,0.35286280512809753,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0304_2024-08-26_X_surface_370_roi_x490_norm.png
105,106,0.010831031017005444,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0106_2024-02-10_X_surface_370_roi_x490_norm.png
302,303,0.32907965779304504,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0303_2024-08-25_X_surface_370_roi_x490_norm.png
116,117,0.011499520391225815,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0117_2024-02-21_X_surface_370_roi_x490_norm.png
304,305,0.32814985513687134,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0305_2024-08-27_X_surface_370_roi_x490_norm.png
114,115,0.011536241509020329,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0115_2024-02-19_X_surface_370_roi_x490_norm.png
212,213,0.2980680763721466,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0213_2024-05-27_X_surface_370_roi_x490_norm.png
106,107,0.015458407811820507,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0107_2024-02-11_X_surface_370_roi_x490_norm.png
323,324,0.29408910870552063,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0324_2024-09-15_X_surface_370_roi_x490_norm.png
112,113,0.016180943697690964,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0113_2024-02-17_X_surface_370_roi_x490_norm.png
200,201,0.2800714373588562,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0201_2024-05-15_X_surface_370_roi_x490_norm.png
107,108,0.017414631322026253,results/fossum_roi_x490_step00_dataset_20260509_232915/normalized_pngs/0108_2024-02-12_X_surface_370_roi_x490_norm.png
