dictionary_size,patch_w,patch_h,seed,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
2,72,40,11,True,concat,raw,1025,307500,5760,2050,4,"[79, 81, 69, 71]",2546.548583984375,1301.5335693359375,1927.06591796875,401.17572021484375,1544.0809478759766,793.2024393264171,69,75.0,81,184.2068466000001,ok
2,72,40,23,True,concat,raw,1025,307500,5760,2050,4,"[79, 81, 69, 71]",2546.548583984375,1301.5335693359375,1927.06591796875,401.17572021484375,1544.0809478759766,793.2024393264171,69,75.0,81,221.45666730000084,ok
3,72,40,11,True,concat,raw,1025,307500,5760,3075,4,"[67, 125, 54, 54]",3268.298095703125,1161.80419921875,4134.568359375,579.0562133789062,2285.9317169189453,1462.8386615270156,54,75.0,125,244.1534032,ok
3,72,40,23,True,concat,raw,1025,307500,5760,3075,4,"[94, 54, 47, 105]",3365.337890625,579.0562133789062,1822.2960205078125,734.6259155273438,1625.3290100097656,1112.9314528908262,47,75.0,105,236.92034570000035,ok
4,72,40,11,True,concat,raw,1025,307500,5760,4100,4,"[59, 120, 69, 52]",1976.97607421875,1014.5405883789062,2450.60009765625,533.4765014648438,1493.8983154296875,758.4253938877174,52,75.0,120,264.4915132000005,ok
4,72,40,23,True,concat,raw,1025,307500,5760,4100,4,"[79, 58, 66, 97]",2551.337890625,698.0262451171875,2320.13232421875,676.173828125,1561.4175720214844,878.164475179233,58,75.0,97,230.5221089000006,ok
5,72,40,11,True,concat,raw,1025,307500,5760,5125,4,"[83, 107, 58, 52]",2704.60546875,766.712646484375,2095.21435546875,533.4765014648438,1525.0022430419922,904.8110343763152,52,75.0,107,281.6411394000006,ok
5,72,40,23,True,concat,raw,1025,307500,5760,5125,4,"[77, 69, 42, 112]",2345.70703125,1076.475341796875,1952.6795654296875,1079.827880859375,1613.6724548339844,553.2565430070755,42,75.0,112,274.5272953999993,ok
6,72,40,11,True,concat,raw,1025,307500,5760,6150,4,"[70, 107, 71, 52]",2085.5703125,795.5811767578125,2300.05810546875,533.4765014648438,1428.6715240478516,773.467534683828,52,75.0,107,290.8930537999986,ok
6,72,40,23,True,concat,raw,1025,307500,5760,6150,4,"[189, 27, 40, 44]",3461.502685546875,2293.59326171875,1324.610107421875,2046.094482421875,2281.450134277344,768.7012747411824,27,75.0,189,283.9891778000001,ok
7,72,40,11,True,concat,raw,1025,307500,5760,7175,4,"[72, 106, 70, 52]",2306.951171875,756.4208374023438,2088.775390625,533.4765014648438,1421.4059753417969,784.2506321033841,52,75.0,106,304.4227593000014,ok
7,72,40,23,True,concat,raw,1025,307500,5760,7175,4,"[71, 43, 156, 30]",2304.99658203125,2038.287353515625,2312.218994140625,777.573974609375,1858.2692260742188,633.6293228761742,30,75.0,156,311.5311567000008,ok
8,72,40,11,True,concat,raw,1025,307500,5760,8200,4,"[120, 69, 34, 77]",1929.6873779296875,1190.0277099609375,1603.4134521484375,1924.3087158203125,1661.8593139648438,302.75920369239446,34,75.0,120,335.2184631,ok
8,72,40,23,True,concat,raw,1025,307500,5760,8200,4,"[59, 69, 71, 101]",2164.90478515625,1051.497802734375,2368.680908203125,832.2349853515625,1604.329620361328,670.8633524425543,59,75.0,101,591.4974781000001,ok
9,72,40,11,True,concat,raw,1025,307500,5760,9225,4,"[158, 64, 34, 44]",2337.521484375,1836.87158203125,1572.8812255859375,1167.835693359375,1728.7774963378906,424.6212806420451,34,75.0,158,394.4694720000007,ok
9,72,40,23,True,concat,raw,1025,307500,5760,9225,4,"[108, 117, 22, 53]",3146.995849609375,966.9284057617188,1472.7086181640625,562.2332763671875,1537.216537475586,983.7900713621652,22,75.0,117,357.5592385,ok
10,72,40,11,True,concat,raw,1025,307500,5760,10250,4,"[158, 64, 34, 44]",2337.521484375,1805.24072265625,1603.4134521484375,1205.1795654296875,1737.8388061523438,408.0313638174796,34,75.0,158,400.73996330000045,ok
10,72,40,23,True,concat,raw,1025,307500,5760,10250,4,"[155, 102, 23, 20]",2286.90869140625,2746.482177734375,1489.969970703125,538.3287353515625,1765.422393798828,839.0558894136235,20,75.0,155,386.5499058000005,ok
11,72,40,11,True,concat,raw,1025,307500,5760,11275,4,"[159, 65, 38, 38]",2349.455322265625,1810.46435546875,1684.6094970703125,1193.5244140625,1759.5133972167969,411.2729016074056,38,75.0,159,386.012901600001,ok
11,72,40,23,True,concat,raw,1025,307500,5760,11275,4,"[94, 151, 23, 32]",2505.74169921875,2234.80615234375,1469.761474609375,768.99267578125,1744.8255004882812,679.5190248976756,23,75.0,151,433.89113989999896,ok
12,72,40,11,True,concat,raw,1025,307500,5760,12300,4,"[158, 64, 47, 31]",2334.98291015625,1774.09423828125,1947.3323974609373,937.40966796875,1748.4548034667969,510.396686353434,31,75.0,158,542.541785100002,ok
12,72,40,23,True,concat,raw,1025,307500,5760,12300,4,"[172, 14, 93, 21]",2654.37939453125,884.200927734375,2480.984130859375,1294.6318359375,1828.549072265625,755.7328000330959,14,75.0,172,701.1407330000002,ok
2,72,40,37,True,concat,raw,1025,307500,5760,2050,4,"[79, 81, 69, 71]",2546.548583984375,1301.5335693359375,1927.06591796875,401.17572021484375,1544.0809478759766,793.2024393264171,69,75.0,81,233.3113857999997,ok
3,72,40,37,True,concat,raw,1025,307500,5760,3075,4,"[64, 72, 50, 114]",2848.69970703125,1143.2021484375,2049.302001953125,1344.086181640625,1846.322509765625,669.4363845148881,50,75.0,114,251.77329630000168,ok
4,72,40,37,True,concat,raw,1025,307500,5760,4100,4,"[46, 67, 70, 117]",3331.99560546875,1093.0941162109375,3224.00927734375,1302.9920654296875,2238.022766113281,1043.322816553433,46,75.0,117,253.59700370000064,ok
5,72,40,37,True,concat,raw,1025,307500,5760,5125,4,"[150, 70, 54, 26]",2336.380859375,2360.81787109375,638.676025390625,2113.586181640625,1862.365234375,713.034551814612,26,75.0,150,345.0919341999979,ok
