image_idx_0_based,image_z_1_based,png_path
0,1,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z001.png
1,2,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z002.png
2,3,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z003.png
3,4,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z004.png
11,12,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z012.png
12,13,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z013.png
13,14,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z014.png
14,15,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z015.png
15,16,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z016.png
16,17,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z017.png
17,18,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z018.png
18,19,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z019.png
21,22,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z022.png
22,23,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z023.png
23,24,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z024.png
24,25,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z025.png
25,26,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z026.png
26,27,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z027.png
27,28,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z028.png
28,29,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z029.png
29,30,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z030.png
30,31,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z031.png
31,32,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z032.png
32,33,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z033.png
33,34,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z034.png
34,35,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z035.png
35,36,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z036.png
36,37,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z037.png
37,38,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z038.png
38,39,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z039.png
39,40,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z040.png
40,41,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z041.png
41,42,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z042.png
42,43,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z043.png
43,44,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z044.png
44,45,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z045.png
45,46,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z046.png
46,47,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z047.png
47,48,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z048.png
48,49,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z049.png
49,50,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z050.png
50,51,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z051.png
51,52,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z052.png
52,53,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z053.png
53,54,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z054.png
54,55,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z055.png
101,102,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png
102,103,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z103.png
103,104,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z104.png
104,105,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z105.png
